@relation 'C__Users_samir_Desktop_2nd Semester_AI_HW5_Dataset_Training'

@attribute text string
@attribute @@class@@ {one,zero}

@data
'but whatever it was that cost them so muchit didn\'t translate to qualitythat\'s for sure  \r\n',zero
'waste your money on this game  \r\n',one
'on the negativeit\'s insipid enough to cause regret for another 2 hours of life wasted in front of the screen  \r\n',zero
'this is the kind of money that is wasted properly  \r\n',one
'longwhiny and pointless  \r\n',zero
'actuallythe graphics were good at the time  \r\n',one
'but i recommend waiting for their future effortslet this one go  \r\n',zero
'as they say in canadathis is the fun gameaye  \r\n',one
'i was very disappointed in the movie  \r\n',zero
'this game rocks  \r\n',one
'one character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard  \r\n',zero
'buy itplay itenjoy itlove it  \r\n',one
'there is a totally unnecessary train/roller coaster scene  \r\n',zero
'it\'s pure brilliance  \r\n',one
'there was absolutely no warmth or charm to these scenes or characters  \r\n',zero
'the film succeeds despiteor perhaps because ofan obviously meagre budget  \r\n',one
'this movie totally grates on my nerves  \r\n',zero
'all in all i think it was a good investment\r\n',one
'i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway\r\n',zero
'i\'m glad the film didn\'t go for the most obvious choiceas a lesser film certainly would have  \r\n',one
'the performances are not improved by improvisationbecause the actors now have twice as much to worry about not only whether they\'re delivering the line wellbut whether the line itself is any good  \r\n',zero
'in addition to having one of the most lovely songs ever writtenfrench cancan also boasts one of the cutest leading ladies ever to grace the screen  \r\n',one
'andquite honestlyoften its not very good  \r\n',zero
'it\'s hard not to fall head-over-heels in love with that girl  \r\n',one
'often the dialogue doesn\'t really follow from one line to anotheror fit the surroundings  \r\n',zero
'excellent caststory lineperformances  \r\n',one
'it crackles with an unpredictableyouthful energy - but honestlyi found it hard to follow and concentrate on it meanders so badly  \r\n',zero
'totally believable  \r\n',one
'i wouldn\'t say they\'re worth 2 hours of your timethough  \r\n',zero
'anne heche was utterly convincing  \r\n',one
'i\'m glad this pretentious piece of s*** didn\'t do as planned by the dodge stratus big shots it\'s gonna help movie makers who aren\'t in the very restrained \"movie business\" of québec  \r\n',zero
'sam shepard\'s portrayal of a gung ho marine was sobering  \r\n',one
'the problem was the script  \r\n',zero
'i sat riveted to the tv screen  \r\n',one
'it was horrendous  \r\n',zero
'all in all i give this one a resounding 9 out of 10  \r\n',one
'there was nothing believable about it at all  \r\n',zero
'i do think tom hanks is a good actor  \r\n',one
'the only suspense i was feeling was the frustration at just how retarded the girls were  \r\n',zero
'the best electronics of the available fm transmitters\r\n',one
'if you hate earbugsavoid this phone by all means\r\n',zero
'i enjoyed reading this book to my children when they were little  \r\n',one
'franklyafter cotton club and unfaithfulit was kind of embarrassing to watch lane and gere in this filmbecause it is bad  \r\n',zero
'there are some generally great things in it  \r\n',one
'the acting was badthe dialogs were extremely shallow and insincere  \r\n',zero
'the suspense builders were good& just cross the line from g to pg  \r\n',one
'it was too predictableeven for a chick flick  \r\n',zero
'i especially liked the non-cliche choices with the parents; in other moviesi could predict the dialog verbatimbut the writing in this movie made better selections  \r\n',one
'too politically correct  \r\n',zero
'if you want a movie that\'s not gross but gives you some chillsthis is a great choice  \r\n',one
'very disappointing  \r\n',zero
'alexander nevsky is a great film  \r\n',one
'i love lanebut i\'ve never seen her in a movie this lousy  \r\n',zero
'he is an amazing film artistone of the most important whoever lived  \r\n',one
'an hour and a half i wish i could bring back  \r\n',zero
'this if the first movie i\'ve given a 10 to in years  \r\n',one
'the directing and the cinematography aren\'t quite as good  \r\n',zero
'if there was ever a movie that needed word-of-mouth to promotethis is it  \r\n',one
'the movie was so boringthat i sometimes found myself occupied peaking in the paper instead of watching never happened during a columbo movie before  \r\n',zero
'overallthe film is interesting and thought-provoking  \r\n',one
'and sometimes it was so embarrassing that i had to look away  \r\n',zero
'great headsetvery impressed - h500\r\n',one
'i also didn\'t like the \"on\" buttonit felt like it would crack with use\r\n',zero
'plusit was well-paced and suited its relatively short run time  \r\n',one
'the directing seems too pretentious  \r\n',zero
'give this one a look  \r\n',one
'the scenes with the \"oh-so-mature\" neighbour-girl are a misplace  \r\n',zero
'i gave it a 10  \r\n',one
'and generally the lines and plot is weaker than the average episode  \r\n',zero
'the wind and the lion is well written and superbly acted  \r\n',one
'then scene where they debated whether or not to sack the trumpeter who falsely was accused for the murder is pure horrorreally stupid  \r\n',zero
'it is a true classic  \r\n',one
'my only problem is i thought the actor playing the villain was a low rent michael ironside  \r\n',zero
'it actually turned out to be pretty decent as far as b-list horror/suspense films go  \r\n',one
'howeverthis didn\'t make up for the fact that overallthis was a tremendously boring movie  \r\n',zero
'definitely worth checking out  \r\n',one
'there was no chemistry between ben affleck and sandra bullock in this filmand i couldn\'t understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by  \r\n',zero
'manna from heaven is a terrific film that is both predictable and unpredictable at the same time  \r\n',one
'there were several moments in the movie that just didn\'t need to be there and were excruciatingly slow moving  \r\n',zero
'the scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going  \r\n',one
'this was a poor remake of \"my best friends wedding\"  \r\n',zero
'the cast of veteran actors are more than just a nostalgia trip  \r\n',one
'all in alla great disappointment  \r\n',zero
'the \"12\" mega pixel camerabeing a part of a phoneis reasonably good7\r\n',one
'worst phone ever\r\n',zero
'ursula burton\'s portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church  \r\n',one
'i cannot believe that the actors agreed to do this \"film\"  \r\n',zero
'if you are looking for a movie with a terrific castsome good musicincluding a shirley jones rendition of \"the way you look tonight\"and an uplifting endinggive this one a try  \r\n',one
'i could not stand to even watch it for very long for fear of losing iq  \r\n',zero
'i don\'t think you will be disappointed  \r\n',one
'i guess that nobody at the network that aired this dribble watched it before putting it on  \r\n',zero
'the only thing really worth watching was the scenery and the housebecause it is beautiful  \r\n',one
'imdb ratings only go as low 1 for awfulit\'s time to get some negative numbers in there for cases such as these  \r\n',zero
'but in terms of the writing it\'s very fresh and bold  \r\n',one
'i saw \"mirrormask\" last night and it was an unsatisfactory experience  \r\n',zero
'the acting helps the writing along very well maybe the idiot-savant sister could have been played betterand it is a real joy to watch  \r\n',one
'unfortunatelyinexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict  \r\n',zero
'some applause should be given to the \"prelude\" however  \r\n',one
'these are the central themes of the film and they are handled ineptlystereotypically and with no depth of imagination  \r\n',zero
'i really liked that  \r\n',one
'all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core  \r\n',zero
'a great film by a great director  \r\n',one
'it is an hour and half waste of timefollowing a bunch of very pretty high schoolers whine and cry about life  \r\n',zero
'the movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night  \r\n',one
'you can\'t relate with themhell you barely can understand them  \r\n',zero
'i\'ve had this for nearly 2 years and it has worked great for me\r\n',one
'freezes frequently4\r\n',zero
'the music in the film is really nice too  \r\n',one
'this movie is a pure disasterthe story is stupid and the editing is the worst i have seenit confuses you incredibly  \r\n',zero
'i\'d advise anyone to go and see it  \r\n',one
'the fish is badly made and some of its underwater shots are repeated a thousand times in the film  \r\n',zero
'brilliant  \r\n',one
'a trulytruly bad film  \r\n',zero
'10/10  \r\n',one
'the acting is terribleand the writing is worse  \r\n',zero
'i liked this movie way too much  \r\n',one
'the only possible way this movie could be redeemed would be as mst3k fodder  \r\n',zero
'it rocked my world and is certainly a must see for anyone with no social or physical outlets  \r\n',one
'i paid too much  \r\n',zero
'this is definitely a cult classic well worth viewing and sharing with others  \r\n',one
'it was so boring  \r\n',zero
'alsoit\'s a real treat to see anthony quinn playing crazy horse  \r\n',one
'no plot whatsoever  \r\n',zero
'stilli do like this movie for it\'s empowerment of women; there\'s not enough movies out there like this one  \r\n',one
'againno plot at all  \r\n',zero
'an excellent performance from ms  \r\n',one
'horrible  \r\n',zero
'good transmit audio\r\n',one
'it\'s kind of embarrassing to use because of how it looks and mostly it\'s embarrassing how child-like the company is\r\n',zero
'garbowho showed right off the bat that her talents could carry over from the silent era i wanted to see some of her silent workbut netflix doesn\'t seem to be stocking them  \r\n',one
'worst hour and a half of my lifeoh my gosh  \r\n',zero
'it\'s also great to see that renowned silent screenwriter frances marion hasn\'t missed a step going from silent to sound  \r\n',one
'i had to walk out of the theatre for a few minutes just to get some relief  \r\n',zero
'\"you\'ll love it  \r\n',one
'i hate movies like that  \r\n',zero
'the movie i received was a great quality film for it\'s age  \r\n',one
'yeahthe movie pretty much sucked  \r\n',zero
'john wayne did an incredible job for being so young in the movie industry  \r\n',one
'there is no plot or storyline  \r\n',zero
'his on screen presence shined thought even though there were other senior actors on the screen with him  \r\n',one
'if you do go see this moviebring a pillow or a girlfriend/boyfriend to keep you occupied through out  \r\n',zero
'i think that it is a must see older john wayne film  \r\n',one
'awful  \r\n',zero
'jamie foxx absolutely is ray charles  \r\n',one
'i don\'t think i\'ve ever gone to a movie and disliked it as much  \r\n',zero
'his performance is simply genius  \r\n',one
'it was a good thing that the tickets only cost five dollars because i would be mad if i\'d have paid $750 to see this crap  \r\n',zero
'he owns the filmjust as spacek owned \"coal miner\'s daughter\" and quaid owned \"great balls of fire  \r\n',one
'nobody identifies with these characters because they\'re all cardboard cutouts and stereotypes or predictably reverse-stereotypes  \r\n',zero
'great price also\r\n',one
'all in alli\'d expected a better consumer experience from motorola\r\n',zero
'\" in factit\'s hard to remember that the part of ray charles is being actedand not played by the man himself  \r\n',one
'this is a bad filmwith bad writingand good actorsan ugly cartoon crafted by paul haggis for people who can\'t handle anything but the bold strokes in storytellinga picture painted with crayons  \r\n',zero
'ray charles is legendary  \r\n',one
'crash is a depressing little nothingthat provokes emotionbut teaches you nothing if you already know racism and prejudice are bad things  \r\n',zero
'ray charles\' life provided excellent biographical material for the filmwhich goes well beyond being just another movie about a musician  \r\n',one
'your brain will attempt to shut-down as part of a primal impulse of self-preservation  \r\n',zero
'hitchcock is a great director  \r\n',one
'i was left shattered from the experience of watching this \'film\' and i took a good two hours to fully recover  \r\n',zero
'secondlyhitchcock pretty much perfected the thriller and chase movie  \r\n',one
'this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films  \r\n',zero
'when i first watched this moviein the 80si loved it  \r\n',one
'i certainly do not mean this distinction in a good way  \r\n',zero
'i was totally fascinated by the musicthe dancing everything  \r\n',one
'i mean this in a terrible way  \r\n',zero
'if good intentions made a film greatthen this film might be one of the greatest films ever made  \r\n',one
'this film has no redeeming features  \r\n',zero
'the film has great actorsa master directora significant theme--at least a would-be significant themeundertone of fifties existential world-wearinessaerial scenes that ought to have thrilled both senses and imaginationand characters about which one might deeply care  \r\n',one
'everything is appalling  \r\n',zero
'yeti enjoy watching it  \r\n',one
'artless camera-work endlessly presents us with the ugliest setting imaginableie  \r\n',zero
'i bought this to use with my kindle fire and absolutely loved it\r\n',one
'i went on motorola\'s website and followed all directionsbut could not get it to pair again\r\n',zero
'the range is very decenti\'ve been able to roam around my house with the phone in the living room with no reception/sound quality issues\r\n',one
'there\'s a horrible tick sound in the background on all my calls that i have never experienced before\r\n',zero
'that was nice  \r\n',one
'the story is beyond stupid  \r\n',zero
'that was funny  \r\n',one
'the script is was there a script?  \r\n',zero
'it was so funny  \r\n',one
'the kids are annoying  \r\n',zero
'***spoilers*** whatever else can or can\'t be said about itsurface is superbly crafted  \r\n',one
'the lead man is charisma-free  \r\n',zero
'the cinematography is simply stunning to say the least and the fx are nothing if not state-of-the-art  \r\n',one
'utterly without merit on any levelthis is akin to torture  \r\n',zero
'conceptuallythe show offers a little bit of everything- and for just about everybody parentskidsfantasy and/or fx fans  \r\n',one
'i\'ll even say it again this is torture  \r\n',zero
'and there wasn\'t a single sour note struck acting-wiseeither; some surprisingly solid castinghere  \r\n',one
'maybe there would be a reasonable explanation for this atrocity  \r\n',zero
'all things considereda job very well done  \r\n',one
'not a pleasant voyage of self-discovery  \r\n',zero
'thanks good a movie like this was done and released  \r\n',one
'highly unrecommended  \r\n',zero
'one of the best mexican movies everand one of the less understoodeven by mexican themselvesno matter how identified the should have felt with it  \r\n',one
'if this premise sound stupidthat\'s because it is  \r\n',zero
'fast service\r\n',one
'i\'m a bit disappointed\r\n',zero
'it ranks highly as a great noir-crime-dramaincredible performances by belmondo and lino ventura  \r\n',one
'yesit\'s that bad  \r\n',zero
'the attention given to every characterand complex psychological portrayalsdetailing loyaltytreacheryloveand hopeare tremendous  \r\n',one
'nothing at all to recommend  \r\n',zero
'it is an excellent dramaan excellent thrillerand an excellent film  \r\n',one
'this movie suffered because of the writingit needed more suspense  \r\n',zero
'up there with the best of melville  \r\n',one
'there were too many close ups  \r\n',zero
'everything about this film is simply incredible  \r\n',one
'but other than that the movie seemed to drag and the heroes didn\'t really work for their freedom  \r\n',zero
'you truly take this journey through the eyes and soul of a child  \r\n',one
'but this movie is definitely a below average rent  \r\n',zero
'black water is a thriller that manages to completely transcend it\'s limitations it\'s an indie flick by continually subverting expectations to emerge as an intense experience  \r\n',one
'this movie is bad  \r\n',zero
'the performances are real and grippingthe crocdodile is extremely well doneindeed if the black water website is to be believed that\'s because they used real crocs and the swamp location is fabulous  \r\n',one
'so bad  \r\n',zero
'i thoroughly enjoyed it when christopher eccleston took control of the tardis and the continuation of the series  \r\n',one
'the film is way too long  \r\n',zero
'there is a lot of beautiful places  \r\n',one
'this is definitely one of the bad ones  \r\n',zero
'i would highly recommend this\r\n',one
'i have had this phone for over a year nowand i will tell youits not that great\r\n',zero
'an amazing finale to possibly the best trilogy of all time  \r\n',one
'i really don\'t see how anyone could enjoy this movie  \r\n',zero
'kieslowski never ceases to amaze me  \r\n',one
'i don\'t think i\'ve ever seen a movie half as boring as this self-indulgent piece of junk  \r\n',zero
'he is one of my favourite directorsand one of the most talented directors in the history of cinema  \r\n',one
'it probably would have been better if the director hadn\'t spent most of the movie showcasing his own art workwhich really isn\'t that noteworthy  \r\n',zero
'his use of the colours of the french flag in the three films was nothing short of incredibleevery shotevery scene was like a work of art  \r\n',one
'another thing i didn\'t really like is when a character got punched in the facea gallon of blood would spew forth soon after  \r\n',zero
'three of the most visually appealing movies i\'ve ever seen  \r\n',one
'ironically i mostly find his films a total waste of time to watch  \r\n',zero
'and his subtle connections between the three films are awesome  \r\n',one
'it\'s this pandering to the audience that sabotages most of his films  \r\n',zero
'i have to mention this and it is a huge spoileri loved the endinghow all the characters of the three films were the remaining survivors of the ferry disasterwith valentine and the young judge togetherand the old man watching it on her tvsolidifying his happiness over the suffering which he dealt with for those many years  \r\n',one
'hence the whole story lacks a certain energy  \r\n',zero
'i couldn\'t think of a better way to end the filmbut a smile on my facegreat way to wrap up an amazing film and trilogy  \r\n',one
'the plot simply rumbles on like a machinedesperately depending on the addition of new scenes  \r\n',zero
'i recommend this for everyone who loves filmmoviesanythinga work of art  \r\n',one
'there are the usual hitchcock logic flaws  \r\n',zero
'10 out of 10 for both the movie and trilogy  \r\n',one
'mishima is extremely uninteresting  \r\n',zero
'i would recommend this\r\n',one
'i ordered this for sony ericsson w810i but i think it only worked once thats when i first used it\r\n',zero
'i think i was one of the people who found this another one of roth\'s pearls  \r\n',one
'this is a chillyunremarkable movie about an author living/working in a chilly abstruse culture  \r\n',zero
'his performanceas awardedwas stunning  \r\n',one
'the flat reenactments don\'t hold your attention because they are emotionally adrift and stagy  \r\n',zero
'the story which was told so eloquently by francis ford coppola 25 years earlierreally unfolds gradually and leaves room for the characters to develop  \r\n',one
'and the rest of it just sits there being awful with soldiers singing songs about the masculinity they pledge themselves tohairsplitting about puritythe admiration of swordsetc  \r\n',zero
'in a most wonderful location lies a story of contrast  \r\n',one
'he can bore you to piecesand kill the momentum of a moviequicker than anyone else  \r\n',zero
'all in all a beautiful directed film from nicola\'s roeg wih a sublime cast  \r\n',one
'schrader has made a resume full of lousyamateurish films  \r\n',zero
'this is such a fun and funny movie  \r\n',one
'howeveri recently watched the whole thing again on dvdand i was completely struck by how extremely stupid the storyline was - how it contained holesinconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was  \r\n',zero
'highly entertaining at all angles  \r\n',one
'i meanin a realistic worldshe would never have gotten into that ballet repertory the whole thing was quite pathetic  \r\n',zero
'it features an outlandish array of memorablepsychotic but lovable nuts  \r\n',one
'the character developments also lacked in depth  \r\n',zero
'so for our enjoyment we get to see them run aroundplay gamesand be dangerous  \r\n',one
'woatalk about awful  \r\n',zero
'it even has its sweet moments  \r\n',one
'do not waste your time  \r\n',zero
'i\'m still infatuated with this phone\r\n',one
'the battery is completely useless to me\r\n',zero
'the telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine  \r\n',one
'it was just too horrible  \r\n',zero
'all the characters in this film are tremendously well played  \r\n',one
'the worstsappiest dialogue i could go on and on  \r\n',zero
'and i really did find them funny  \r\n',one
'but what really made it unwatchable was the direction  \r\n',zero
'this is actually a very smart movie  \r\n',one
'the poor actors  \r\n',zero
'there is a brilliant twist ending  \r\n',one
'you can\'t even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action  \r\n',zero
'\" i love it  \r\n',one
'if you check the director\'s filmography on this site you will see why this film didn\'t have a chance  \r\n',zero
'the ending is soso perfect you\'ll shed a tear  \r\n',one
'this would not even be good as a made for tv flick  \r\n',zero
'i am so thrilled after seeing a movie like this  \r\n',one
'regrettablythe film fails  \r\n',zero
'i will never forget it now  \r\n',one
'the movie lacks visual interestdramaexpression of feelingand celebration of the very patriotism that underlines the narrative  \r\n',zero
'it is not just a cult it is a cult classic  \r\n',one
'no actress has been worse used that june allison in this movie  \r\n',zero
'simplelightweight and great fit\r\n',one
'what a big waste of time\r\n',zero
'it is a really good show to watch  \r\n',one
'unfortunatelythis is a bad movie that is just plain bad  \r\n',zero
'it is very educational for children 1 to 8 years old  \r\n',one
'bad scriptbad direction and horrible acting make this one plain bad  \r\n',zero
'barney is definitely super de duper  \r\n',one
'the dialogue sucked  \r\n',zero
'is pretty funny  \r\n',one
'the cinematography-if it can be called that-sucked  \r\n',zero
'babie bop is very cute  \r\n',one
'the soundtrack sucked  \r\n',zero
'the kids are very cool too  \r\n',one
'the acting sucked  \r\n',zero
'i would give this television series a 10 plus if i could  \r\n',one
'the concert sequences just sucked  \r\n',zero
'the writers were \"smack on\" and i think the best actors and actresses were a bonus to the showthese characters were so real  \r\n',one
'overallthis movie was cheap trash  \r\n',zero
'i must say i have taped most of the episodes and i find myself watching them over and over again  \r\n',one
'but this movie is not funnyconsidering the ridiculousness of it  \r\n',zero
'now you know why i gave it a 10+  \r\n',one
'i came out of it feeling angry  \r\n',zero
'these are certainly very comfortable and functionality is decent\r\n',one
'don\'t waste your $$$ on this one\r\n',zero
'i don\'t know exactly what it is about this moviebut we latched on to this endearing movie and it has become a special part of our family\'s memories  \r\n',one
'i\'m not sure what he was trying to do with this film  \r\n',zero
'i totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is  \r\n',one
'if it was to turn my good day feeling into a night of disturbing memories than i guess he succeeded  \r\n',zero
'the things that the four kids get themselves into is absolutely hilarious to watch  \r\n',one
'it was forcedlike everything in this movie  \r\n',zero
'this is one of the best movies out there that shows such strong sibling bond for each other  \r\n',one
'againlame  \r\n',zero
'much more interestingmore actionmore suspenseand less of the unneeded controversy  \r\n',one
'here\'s where the movie really pi**ed me off  \r\n',zero
'everything from acting to cinematography was solid  \r\n',one
'and don\'t even get me started on the jerky camerawork  \r\n',zero
'definitely worth checking out  \r\n',one
'when i saw it in the theater i thought i was going to be sick  \r\n',zero
'damian is so talented and versatile in so many ways of writing and portraying different characters on screen  \r\n',one
'summary the witticisms weren\'t witty  \r\n',zero
'this movie has a cutting edge to it  \r\n',one
'the plot - welli said i\'d let that one go  \r\n',zero
'i am so pleased to know such a modern day genius is out there letting is passion for art drive him and taking us as an audience with him  \r\n',one
'the acting was bad  \r\n',zero
'i usually don\'t like headbands but this one is very lightweight & doesn\'t mess up my hair\r\n',one
'do not make the same mistake as me\r\n',zero
'elias koteas,jack palance play good roles angelina is hot and gets nakedbilly drago appears in this and is cool as usual + a cameo by sven ole thorsen helps make this a very enjoyable movie with good acting and a decent budget  \r\n',one
'really bad  \r\n',zero
'this was such an awesome movie that i bought it off of ebay  \r\n',one
'even billy bob couldn\'t rise above the scriptwhich was worse  \r\n',zero
'i really loved the story line and the poler bear was kinda cutebut if anyone has a question about fort steelejust ask away  \r\n',one
'camerawork - againbad  \r\n',zero
'i think the most wonderful parts literallyfull of \"wonder\" are the excerpts from his works  \r\n',one
'rating 1 out of 10  \r\n',zero
'the sets especially designed to work with the camera are amazingstylizedbeautiful and effective  \r\n',one
'i literally vomited while watching this film  \r\n',zero
'they could be used as exemplars for any set designer  \r\n',one
'i\'m translating movies for a living and this is the first movie in my 5-year working experience that i found offensive to my intelligence  \r\n',zero
'the stories were powerful explorations of the nature of man and of art  \r\n',one
'but when someone strives for greatness and poetrybut delivers a muddled and often ridiculous storya bunch of disparate scenespretentious dialogue then you get the worst kind of a movie that some other reviewer very accurately defined as \"pretentious crap\"  \r\n',zero
'after watching this filmi wanted to learn more about the works of this artist  \r\n',one
'to those who find this movie intelligent or even masterfuli can only say - it\'s your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt it\'s in our human nature to try and make sense of things   \r\n',zero
'i highly recommend this movie for anyone interested in artpoetrytheaterpoliticsor japanese history  \r\n',one
'one more thing i can tolerate political incorrectness very welli\'m all for artistic freedom and suspension of disbeliefbut the slavic female character was just too much  \r\n',zero
'herein the wind and the lionwe see a wonderful rendering of america\'s own imperial age  \r\n',one
'which has more depth and character than the man underneath it  \r\n',zero
'great sound and service\r\n',one
'big disappointment with calendar sync\r\n',zero
' what makes this story different are the terrific production values - faultless photographycomposition and editing - the terrific casting - the underappreciated brian keith playing a bully teddy - and vivid history  \r\n',one
'the malta settings are as dry and as barren as the dialogue  \r\n',zero
'though the wind and the lion is told largely through the eyes of the sonevery member of the family can identify with one of the characterswhether it be sean connery\'s noble brigandcandace bergen\'s feisty heroinejohn huston\'s wily john hay or steve kanaly\'s spiffyradiantruthless can-do lieutenantroosevelt\'s \"big stick\"  \r\n',one
'this movie is terrible  \r\n',zero
'this is high adventure at its best  \r\n',one
'the hockey scenes are terribledefensemen playing like they\'re 5 years oldgoalies diving at shots that are 10 feet wide of the netetc  \r\n',zero
'i think it was robert ryans best filmbecause he portrayed someone like my fatherand he was a schizophrenic in real life,my father although he never murdered anyone but was affected more so during the second world war which made him worse  \r\n',one
'for those that haven\'t seen itdon\'t waste your time  \r\n',zero
'having to humour him just to get by and get through the day was so apt  \r\n',one
'to call this movie a drama is ridiculous  \r\n',zero
'my mother and brother had to do thiswhen i saw robert ryan portraying this type of manit was a very good imitation of this type of individualand i was impressed  \r\n',one
'started watching this but didn\'t believe in any of the characters  \r\n',zero
'non-linear narration thus many flashbacks and every part are articulated quite well  \r\n',one
'in particular the relationship between the bakery assistant and the waitress just didn\'t work for me at all  \r\n',zero
'the good cinematography also makes her and monica bellucci look very beautiful  \r\n',one
'it was a very superficial movie and it gave me the feeling that i was watching play rather than a film  \r\n',zero
'a good commentary of today\'s love and undoubtedly a film worth seeing  \r\n',one
'the characters were very \'stagey\' and the storyline was a lot like a stage farce  \r\n',zero
'for people who are first timers in film makingi think they did an excellent job  \r\n',one
'by the time the pyromaniac waylaid the assistant i was bored and didn\'t care what happened next and so i switched off  \r\n',zero
'really pleased with this product so far\r\n',one
'the phone was unusable and was not new\r\n',zero
'it was very popular when i was in the cinemaa good house and very good reactions and plenty of laughs  \r\n',one
'glad i didn\'t pay to see it  \r\n',zero
'it\'s a feel-good film and that\'s how i felt when i came out of the cinema  \r\n',one
'didn\'t laugh or even smile once  \r\n',zero
'it has northern humour and positive about the community it represents  \r\n',one
'but it wasn\'t anything at all just one big yawn  \r\n',zero
'i rather enjoyed it  \r\n',one
'\" but \"storm trooper\" is not even bad enough to make it to the list of wonderfully terrible movies  \r\n',zero
'i liked it  \r\n',one
'it\'s just lame  \r\n',zero
'it really created a unique feeling though  \r\n',one
'the guy who said he\'s had better dialogue with his potted plants has it right  \r\n',zero
'vivian schilling did an excellent job with the script  \r\n',one
'everything about this movie is stupid  \r\n',zero
'a world better than 95\% of the garbage in the theatres today  \r\n',one
'even if you love bad moviesdo not watch this movie  \r\n',zero
'her role was played well  \r\n',one
'it is shameful  \r\n',zero
